""	"ID"	"Symbol"	"COL"	"ROW"	"NAME"
"108"	"TC01000108.hg.1"	"ENO1-AS1"	"NA"	"NA"	"NR_038351"
"109"	"TC01000109.hg.1"	"HMGN2P17"	"NA"	"NA"	"ENST00000437767"
"110"	"TC01000110.hg.1"	"CA6"	"NA"	"NA"	"NM_001215"
"111"	"TC01000111.hg.1"	"NA"	"NA"	"NA"	"---"
"112"	"TC01000112.hg.1"	"OTTHUMG00000001764"	"NA"	"NA"	"OTTHUMT00000004915"
"113"	"TC01000113.hg.1"	"H6PD"	"NA"	"NA"	"NM_004285"
"114"	"TC01000114.hg.1"	"NA"	"NA"	"NA"	"---"
"115"	"TC01000115.hg.1"	"SPSB1"	"NA"	"NA"	"NM_025106"
"116"	"TC01000116.hg.1"	"SLC25A33"	"NA"	"NA"	"NM_032315"
"117"	"TC01000117.hg.1"	"TMEM201"	"NA"	"NA"	"NM_001010866"
"118"	"TC01000118.hg.1"	"PIK3CD"	"NA"	"NA"	"NM_005026"
"119"	"TC01000119.hg.1"	"OTTHUMG00000037769"	"NA"	"NA"	"OTTHUMT00000092157"
"120"	"TC01000120.hg.1"	"NA"	"NA"	"NA"	"---"
"121"	"TC01000121.hg.1"	"OTTHUMG00000001805"	"NA"	"NA"	"OTTHUMT00000005042"
"122"	"TC01000122.hg.1"	"NMNAT1"	"NA"	"NA"	"NM_022787"
"123"	"TC01000123.hg.1"	"NA"	"NA"	"NA"	"---"
"124"	"TC01000124.hg.1"	"RBP7"	"NA"	"NA"	"NM_052960"
"125"	"TC01000125.hg.1"	"UBE4B"	"NA"	"NA"	"NM_001105562"
"126"	"TC01000126.hg.1"	"NA"	"NA"	"NA"	"---"
"127"	"TC01000127.hg.1"	"KIF1B"	"NA"	"NA"	"NM_015074"
"128"	"TC01000128.hg.1"	"RNU6-37"	"NA"	"NA"	"ENST00000362692"
"129"	"TC01000129.hg.1"	"PGD"	"NA"	"NA"	"NM_002631"
