ID	ORF	GenBank	CLONE_ID	SPOT_ID
AC005102.1		AC005102.1		AC005102.1
AC005104.3		AC005104.3		AC005104.3
AC005105.2		AC005105.2		AC005105.2
AC005150.1		AC005150.1		AC005150.1
AC005152.3		AC005152.3		AC005152.3
AC005154.6		AC005154.6		AC005154.6
AC005154.7		AC005154.7		AC005154.7
AC005154.8		AC005154.8		AC005154.8
AC005160.3		AC005160.3		AC005160.3
AC005162.4		AC005162.4		AC005162.4
AC005176.1		AC005176.1		AC005176.1
AC005176.2		AC005176.2		AC005176.2
AC005220.3		AC005220.3		AC005220.3
AC005224.2		AC005224.2		AC005224.2
AC005229.5		AC005229.5		AC005229.5
AC005229.7		AC005229.7		AC005229.7
AC005235.1		AC005235.1		AC005235.1
AC005237.2		AC005237.2		AC005237.2
AC005251.3		AC005251.3		AC005251.3
AC005253.2		AC005253.2		AC005253.2
AC005253.4		AC005253.4		AC005253.4
AC005255.3		AC005255.3		AC005255.3
AC005255.5		AC005255.5		AC005255.5
AC005255.6		AC005255.6		AC005255.6
AC005256.1		AC005256.1		AC005256.1
AC005262.4		AC005262.4		AC005262.4
AC005264.2		AC005264.2		AC005264.2
AC005281.1		AC005281.1		AC005281.1
AC005281.2		AC005281.2		AC005281.2
AC005300.5		AC005300.5		AC005300.5
AC005301.8		AC005301.8		AC005301.8
AC005306.3		AC005306.3		AC005306.3
AC005307.1		AC005307.1		AC005307.1
AC005307.3		AC005307.3		AC005307.3
AC005324.6		AC005324.6		AC005324.6
AC005324.7		AC005324.7		AC005324.7
AC005329.7		AC005329.7		AC005329.7
AC005330.2		AC005330.2		AC005330.2
AC005336.4		AC005336.4		AC005336.4
AC005336.5		AC005336.5		AC005336.5
AC005339.2		AC005339.2		AC005339.2
AC005351.1		AC005351.1		AC005351.1
AC005355.1		AC005355.1		AC005355.1
AC005355.2		AC005355.2		AC005355.2
AC005355.3		AC005355.3		AC005355.3
AC005358.3		AC005358.3		AC005358.3
AC005363.11		AC005363.11		AC005363.11
AC005387.2		AC005387.2		AC005387.2
AC005387.3		AC005387.3		AC005387.3
AC005391.2		AC005391.2		AC005391.2
AC005394.1		AC005394.1		AC005394.1
AC005477.1		AC005477.1		AC005477.1
AC005480.1		AC005480.1		AC005480.1
AC005481.5		AC005481.5		AC005481.5
AC005487.2		AC005487.2		AC005487.2
AC005498.3		AC005498.3		AC005498.3
AC005498.4		AC005498.4		AC005498.4
AC005510.3		AC005510.3		AC005510.3
AC005514.2		AC005514.2		AC005514.2
AC005517.3		AC005517.3		AC005517.3
AC005518.2		AC005518.2		AC005518.2
AC005519.4		AC005519.4		AC005519.4
AC005522.6		AC005522.6		AC005522.6
AC005523.2		AC005523.2		AC005523.2
AC005523.3		AC005523.3		AC005523.3
AC005532.5		AC005532.5		AC005532.5
AC005534.6		AC005534.6		AC005534.6
AC005534.8		AC005534.8		AC005534.8
AC005537.2		AC005537.2		AC005537.2
AC005538.3		AC005538.3		AC005538.3
AC005538.5		AC005538.5		AC005538.5
AC005539.2		AC005539.2		AC005539.2
AC005546.2		AC005546.2		AC005546.2
AC005550.3		AC005550.3		AC005550.3
AC005550.5		AC005550.5		AC005550.5
AC005562.1		AC005562.1		AC005562.1
AC005588.2		AC005588.2		AC005588.2
AC005592.1		AC005592.1		AC005592.1
AC005592.2		AC005592.2		AC005592.2
AC005592.3		AC005592.3		AC005592.3
AC005597.1		AC005597.1		AC005597.1
AC005606.14		AC005606.14		AC005606.14
AC005609.18		AC005609.18		AC005609.18
AC005609.2		AC005609.2		AC005609.2
AC005609.20		AC005609.20		AC005609.20
AC005614.3		AC005614.3		AC005614.3
AC005614.5		AC005614.5		AC005614.5
AC005616.1		AC005616.1		AC005616.1
AC005618.6		AC005618.6		AC005618.6
AC005618.9		AC005618.9		AC005618.9
AC005624.2		AC005624.2		AC005624.2
AC005625.1		AC005625.1		AC005625.1
AC005626.3		AC005626.3		AC005626.3
AC005682.5		AC005682.5		AC005682.5
AC005682.6		AC005682.6		AC005682.6
AC005682.7		AC005682.7		AC005682.7
AC005703.2		AC005703.2		AC005703.2
AC005703.3		AC005703.3		AC005703.3
AC005722.4		AC005722.4		AC005722.4
AC005740.3		AC005740.3		AC005740.3
