""	"probe_id"	"symbol"
"423968"	"ILMN_1652024"	"CSNK1G3"
"423969"	"ILMN_1652027"	"GABBR1"
"423970"	"ILMN_1652037"	"UPP2"
"423971"	"ILMN_1652040"	"KCTD2"
"423972"	"ILMN_1652045"	"C1orf147"
"423973"	"ILMN_1652056"	"TTN"
"423974"	"ILMN_1652065"	"KCNMB1"
"423975"	"ILMN_1652066"	"SNED1"
"423976"	"ILMN_1652072"	"NIM1K"
"423977"	"ILMN_1652073"	"RPS23"
"423978"	"ILMN_1652082"	"ELF4"
"423979"	"ILMN_1652085"	"MPHOSPH10"
"423980"	"ILMN_1652088"	"PAPOLB"
"423981"	"ILMN_1652104"	"KRAS"
"423982"	"ILMN_1652120"	"ZNF302"
"423983"	"ILMN_1652128"	"LMBRD1"
"423984"	"ILMN_1652137"	"NPY4R"
"423985"	"ILMN_1652143"	"E2F3"
"423986"	"ILMN_1652144"	"GALNT16"
"423987"	"ILMN_1652147"	"MRPL43"
"423988"	"ILMN_1652151"	"TJP2"
"423989"	"ILMN_1652160"	"LRBA"
"423990"	"ILMN_1652161"	"PNKD"
"423991"	"ILMN_1652162"	"DBIL5P2"
"423992"	"ILMN_1652163"	"DVL2"
"423993"	"ILMN_1652164"	"UNC93B1"
"423994"	"ILMN_1652166"	"GUCY1B2"
"423995"	"ILMN_1652171"	"CDKN2C"
"423996"	"ILMN_1652175"	"KRTAP9-8"
"423997"	"ILMN_1652181"	"KIF2B"
"423998"	"ILMN_1652188"	"EPG5"
"423999"	"ILMN_1652198"	"CCM2"
"424000"	"ILMN_1652206"	"WDR97"
"424001"	"ILMN_1652207"	"COX4I1"
"424002"	"ILMN_1652209"	"BMS1"
"424003"	"ILMN_1652215"	"UQCR10"
"424004"	"ILMN_1652219"	"NOL4L"
"424005"	"ILMN_1652223"	"WDR91"
"424006"	"ILMN_1652230"	"RPS29"
"424007"	"ILMN_1652232"	"CCDC144B"
"424008"	"ILMN_1652236"	"ATAD5"
"424009"	"ILMN_1652237"	"CBR3"
"424010"	"ILMN_1652240"	"STMN1"
"424011"	"ILMN_1652243"	"VWA5B1"
"424012"	"ILMN_1652244"	"POPDC3"
"424013"	"ILMN_1652246"	"NACAD"
"424014"	"ILMN_1652249"	"PTPA"
"424015"	"ILMN_1652272"	"KCTD2"
"424016"	"ILMN_1652276"	"MAGEA3"
"424017"	"ILMN_1652277"	"SECTM1"
"424018"	"ILMN_1652280"	"FBXO32"
"424019"	"ILMN_1652287"	"NOG"
"424020"	"ILMN_1652291"	"EVX2"
"424021"	"ILMN_1652297"	"LINC02275"
"424022"	"ILMN_1652300"	"ZNF507"
